Event ID,Start Time (UTC),Start Time (Local Pacific),End Time (UTC),End Time (Local Pacific),Duration (s),Dominant Frequency (Hz),Frequency Stddev (Hz),"SPI (peak, counts)","SPI (mean, counts)","SPI (peak, Pa)","SPI (mean, Pa)",Amplitude (peak dB SPL),Amplitude (mean dB SPL),Waveform Type,Mechanical Signature,Impulse/Pressure Event,Distrubance Energy Prominence,Distrubance Energy Concentration,Distrubance-Candidate,Event Discrimination
26,2025-07-13 12:21:22,2025-07-13 05:21:22,2025-07-13 12:21:52,2025-07-13 05:21:52,29.980771430145516,5.04,0.12563485239550962,82.0,16.322,0.082,0.016322002,72.25568,58.234867,clustered,False,False,True,True,True,disturbance-candidate
35,2025-07-13 11:29:58,2025-07-13 04:29:58,2025-07-13 11:30:28,2025-07-13 04:30:28,29.980771430145516,5.04,0.033354712113728535,92.0,19.416292,0.09200001,0.019416293,73.25516,59.74273,clustered,False,False,True,True,True,disturbance-candidate
36,2025-07-13 11:30:28,2025-07-13 04:30:28,2025-07-13 11:30:58,2025-07-13 04:30:58,29.980771430145516,5.04,0.016677356056864046,86.0,16.626041,0.086,0.016626041,72.669365,58.395176,clustered,False,False,True,True,True,disturbance-candidate
3,2025-07-14 10:24:36,2025-07-14 03:24:36,2025-07-14 10:25:06,2025-07-14 03:25:06,29.980771430145516,5.14,0.2550804198547635,96.0,24.180885,0.096,0.024180887,73.624825,61.648846,clustered,False,False,True,True,True,disturbance-candidate
6,2025-07-14 10:26:06,2025-07-14 03:26:06,2025-07-14 10:26:36,2025-07-14 03:26:36,29.980771430145516,5.44,0.15101988218075452,144.0,28.896729,0.14400001,0.02889673,77.14665,63.196373,clustered,False,False,True,True,True,disturbance-candidate
55,2025-08-01 17:38:54,2025-08-01 10:38:54,2025-08-01 17:39:24,2025-08-01 10:39:24,29.980771430145516,5.0,0.01667735605686449,120.0,21.45093,0.120000005,0.021450931,75.56303,60.608326,clustered,False,False,True,True,True,disturbance-candidate
23,2025-08-01 19:34:16,2025-08-01 12:34:16,2025-08-01 19:34:46,2025-08-01 12:34:46,29.980771430145516,5.0,0.016677356056864046,90.0,17.903784,0.09,0.017903784,73.064255,59.038296,clustered,False,False,True,True,True,disturbance-candidate
5,2025-04-20 03:04:27,2025-04-19 20:04:27,2025-04-20 03:04:28,2025-04-19 20:04:28,0.980769302718038,4.08,1.5080202262408169,724.0,65.13725,0.72400004,0.06513725,91.17417,70.25599,pulse,True,True,True,False,False,pressure/impulse
46,2025-04-20 03:20:14,2025-04-19 20:20:14,2025-04-20 03:20:44,2025-04-19 20:20:44,29.980771430145516,6.54,0.027234008398687955,126.0,26.31687,0.126,0.026316872,75.98681,62.384087,clustered,False,False,True,True,True,disturbance-candidate
109,2025-04-27 00:52:12,2025-04-26 17:52:12,2025-04-27 00:52:13,2025-04-26 17:52:13,1.480769339397822,2.03,2.6120313395573485,258.0,31.402597,0.25800002,0.0314026,82.2118,63.918716,pulse,True,True,True,False,False,pressure/impulse
12,2025-04-09 04:34:12,2025-04-08 21:34:12,2025-04-09 04:34:42,2025-04-08 21:34:42,29.980771430145516,6.67,0.01667735605686449,500.0,41.33932,0.5,0.041339323,87.9588,66.30667,clustered,False,False,True,True,True,disturbance-candidate
17,2025-04-09 22:23:59,2025-04-09 15:23:59,2025-04-09 22:24:29,2025-04-09 15:24:29,29.980771430145516,12.84,0.01667735605686449,80.0,15.733162,0.080000006,0.015733162,72.0412,57.91572,clustered,False,False,True,True,True,disturbance-candidate
52,2025-04-09 22:58:12,2025-04-09 15:58:12,2025-04-09 22:58:42,2025-04-09 15:58:42,29.980771430145516,12.84,0.027234008398687594,102.0,24.760744,0.102000006,0.024760745,74.151405,61.854675,clustered,False,False,True,True,True,disturbance-candidate
30,2025-04-11 21:49:20,2025-04-11 14:49:20,2025-04-11 21:49:21,2025-04-11 14:49:21,0.980769302718038,7.14,2.5939395194111383,2628.0,213.41176,2.628,0.21341176,102.37191,80.56377,pulse,True,True,True,False,False,pressure/impulse
31,2025-04-11 21:52:30,2025-04-11 14:52:30,2025-04-11 21:52:32,2025-04-11 14:52:32,1.480769339397822,9.45,4.074120000956396,1294.0,57.61039,1.294,0.057610393,96.218094,69.189415,pulse,True,True,True,False,False,pressure/impulse
61,2025-04-07 16:33:34,2025-04-07 09:33:34,2025-04-07 16:34:04,2025-04-07 09:34:04,29.980771430145516,3.4,0.027234008398687955,200.0,30.420782,0.2,0.030420784,80.0,63.642807,clustered,False,False,True,True,True,disturbance-candidate
65,2025-04-07 16:34:52,2025-04-07 09:34:52,2025-04-07 16:35:22,2025-04-07 09:35:22,29.980771430145516,3.4,0.04160063498801688,102.0,25.390635,0.102000006,0.025390636,74.151405,62.072872,clustered,False,False,True,True,True,disturbance-candidate
